agency_cd,site_no,dateTime,Wtemp_Max,Wtemp_Max_cd,Wtemp_Min,Wtemp_Min_cd,Wtemp,Wtemp_cd,Flow,Flow_cd,tz_cd
USGS,12363000,2020-10-01T00:00:00Z,12.7,A,11.2,A,11.9,A,3620,A,UTC
USGS,12363000,2020-10-02T00:00:00Z,13.2,A,10.9,A,11.8,A,3620,A,UTC
USGS,12363000,2020-10-03T00:00:00Z,13,A,10.7,A,11.8,A,3610,A,UTC
USGS,12363000,2020-10-04T00:00:00Z,13,A,11,A,11.9,A,3600,A,UTC
USGS,12363000,2020-10-05T00:00:00Z,13.4,A,11.3,A,12.1,A,3620,A,UTC
USGS,12363000,2020-10-06T00:00:00Z,13.3,A,11.2,A,12.1,A,3630,A,UTC
USGS,12363000,2020-10-07T00:00:00Z,13.5,A,11.4,A,12.2,A,3620,A,UTC
USGS,12363000,2020-10-08T00:00:00Z,12.8,A,11.2,A,11.9,A,3630,A,UTC
USGS,12363000,2020-10-09T00:00:00Z,13,A,11.3,A,11.9,A,3630,A,UTC
USGS,12363000,2020-10-10T00:00:00Z,11.5,A,10.8,A,11.2,A,3650,A,UTC
USGS,12363000,2020-10-11T00:00:00Z,10.9,A,9.9,A,10.3,A,3690,A,UTC
USGS,12363000,2020-10-12T00:00:00Z,11.4,A,9.2,A,10,A,3660,A,UTC
USGS,12363000,2020-10-13T00:00:00Z,9.2,A,8.5,A,8.9,A,3680,A,UTC
USGS,12363000,2020-10-14T00:00:00Z,9.6,A,7.8,A,8.5,A,3740,A,UTC
USGS,12363000,2020-10-15T00:00:00Z,9.1,A,6.9,A,7.8,A,3690,A,UTC
USGS,12363000,2020-10-16T00:00:00Z,8.2,A,7.5,A,7.8,A,3720,A,UTC
USGS,12363000,2020-10-17T00:00:00Z,8,A,6.5,A,7.4,A,3850,A,UTC
USGS,12363000,2020-10-18T00:00:00Z,6.5,A,5.4,A,5.9,A,3930,A,UTC
USGS,12363000,2020-10-19T00:00:00Z,6.2,A,5.4,A,5.9,A,3870,A,UTC
USGS,12363000,2020-10-20T00:00:00Z,7.4,A,6,A,6.6,A,3950,A,UTC
USGS,12363000,2020-10-21T00:00:00Z,7.1,A e,5.4,A e,6.5,A e,4140,A,UTC
USGS,12363000,2020-10-22T00:00:00Z,5.9,A,4.8,A,5.3,A,4040,A,UTC
USGS,12363000,2020-10-23T00:00:00Z,5.2,A,4.3,A,4.9,A,3900,A,UTC
USGS,12363000,2020-10-24T00:00:00Z,4.9,A,3.4,A,4,A,3820,A,UTC
USGS,12363000,2020-10-25T00:00:00Z,4.6,A,2.5,A,3.6,A,3710,A,UTC
USGS,12363000,2020-10-26T00:00:00Z,4.8,A,3.5,A,4.1,A,3730,A,UTC
USGS,12363000,2020-10-27T00:00:00Z,5.2,A,4.2,A,4.6,A,3760,A,UTC
USGS,12363000,2020-10-28T00:00:00Z,5.3,A,4.7,A,5,A,3660,A,UTC
USGS,12363000,2020-10-29T00:00:00Z,6.6,A,5.2,A,5.8,A,3670,A,UTC
USGS,12363000,2020-10-30T00:00:00Z,6.6,A,5.4,A,5.9,A,3670,A,UTC
USGS,12363000,2020-10-31T00:00:00Z,7.2,A,5.5,A,6.2,A,3690,A,UTC
USGS,12363000,2020-11-01T00:00:00Z,6.9,A,5.2,A,5.9,A,3680,A,UTC
USGS,12363000,2020-11-02T00:00:00Z,6.5,A,4.9,A,5.6,A,3670,A,UTC
USGS,12363000,2020-11-03T00:00:00Z,6,A,4.7,A,5.4,A,3650,A,UTC
USGS,12363000,2020-11-04T00:00:00Z,6.8,A,5.6,A,6.3,A,3800,A,UTC
USGS,12363000,2020-11-05T00:00:00Z,7.3,A,6.8,A,7,A,5990,A,UTC
USGS,12363000,2020-11-06T00:00:00Z,7,A,5.6,A,6.3,A,11000,A,UTC
USGS,12363000,2020-11-07T00:00:00Z,5.6,A,4.4,A,5.1,A,11900,A,UTC
USGS,12363000,2020-11-08T00:00:00Z,4.4,A,3.1,A,3.6,A,10100,A,UTC
USGS,12363000,2020-11-09T00:00:00Z,3.1,A,2.6,A,2.7,A,8560,A,UTC
USGS,12363000,2020-11-10T00:00:00Z,3,A,2.6,A,2.8,A,7500,A,UTC
USGS,12363000,2020-11-11T00:00:00Z,3.4,A,2.7,A,3,A,6180,A,UTC
USGS,12363000,2020-11-12T00:00:00Z,3.4,A,2.8,A,3.1,A,5600,A,UTC
